,StockCode,Description,Cluster
588,22274,FELTCRAFT DOLL EMILY,2
590,22751,FELTCRAFT PRINCESS OLIVIA DOLL,2
591,21034,REX CASH+CARRY JUMBO SHOPPER,6
596,22570,FELTCRAFT CUSHION RABBIT,64
597,22569,FELTCRAFT CUSHION BUTTERFLY,2
603,22902,TOTE BAG I LOVE LONDON,21
606,21710,FOLDING UMBRELLA PINKWHITE POLKADOT,14
607,21708,FOLDING UMBRELLA CREAM POLKADOT,14
608,21711,FOLDING UMBRELLA WHITE/RED POLKADOT,14
609,22179,SET  LIGHTS NIGHT OWL,65
612,21706,FOLDING UMBRELLA RED/WHITE POLKADOT,14
615,85184C,S/ VALENTINE DECOUPAGE HEART BOX,34
619,22988,SOLDIERS EGG CUP ,48
621,20750,RED RETROSPOT MINI CASES,61
623,22952, CAKE CASES VINTAGE CHRISTMAS,54
625,22739,RIBBON REEL CHRISTMAS SOCK BAUBLE,38
626,22738,RIBBON REEL SNOWY VILLAGE,38
628,22909,SET OF  VINTAGE CHRISTMAS NAPKINS,5
629,35591T,TURQUOISE CHRISTMAS TREE ,53
630,22186,RED STAR CARD HOLDER,83
631,22695,WICKER WREATH SMALL,44
633,22580,ADVENT CALENDAR GINGHAM SACK,6
635,22147,FELTCRAFT BUTTERFLY HEARTS,2
636,22130,PARTY CONE CHRISTMAS DECORATION ,53
638,22694,WICKER STAR ,44
639,21790,VINTAGE SNAP CARDS,10
640,22149,FELTCRAFT  FLOWER FRIENDS,2
643,22321,BIRD DECORATION RED RETROSPOT,61
644,22594,CHRISTMAS GINGHAM TREE,53
645,22593,CHRISTMAS GINGHAM STAR,53
646,22595,CHRISTMAS GINGHAM HEART,53
647,21986,PACK OF  PINK POLKADOT TISSUES,90
648,22750,FELTCRAFT PRINCESS LOLA DOLL,2
649,22616,PACK OF  LONDON TISSUES ,90
650,22775,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,81
651,22899,CHILDREN'S APRON DOLLY GIRL ,17
652,22367,CHILDRENS APRON SPACEBOY DESIGN,99
653,22942,CHRISTMAS LIGHTS  SANTAS ,65
658,21976,PACK OF  MUSHROOM CAKE CASES,54
659,22951, CAKE CASES DOLLY GIRL DESIGN,17
661,22834,HAND WARMER BABUSHKA DESIGN,55
665,21916,SET  RETRO WHITE CHALK STICKS,96
666,22587,FELTCRAFT HAIRBAND RED AND BLUE,2
667,22566,FELTCRAFT HAIRBAND PINK AND PURPLE,2
668,22565,FELTCRAFT HAIRBANDS PINK AND WHITE ,2
669,22472,TV DINNER TRAY DOLLY GIRL,17
670,22557,PLASTERS IN TIN VINTAGE PAISLEY ,49
671,22551,PLASTERS IN TIN SPACEBOY,49
672,22554,PLASTERS IN TIN WOODLAND ANIMALS,49
673,22534,MAGIC DRAWING SLATE SPACEBOY ,68
675,22529,MAGIC DRAWING SLATE GO TO THE FAIR ,68
676,22530,MAGIC DRAWING SLATE DOLLY GIRL ,68
677,84032B,CHARLIE + LOLA RED HOT WATER BOTTLE,27
679,85049H,URBAN BLACK RIBBONS ,69
681,22807,SET OF  T-LIGHTS TOADSTOOLS,65
682,21494,ROTATING LEAVES T-LIGHT HOLDER,9
684,22938,CUPCAKE LACE PAPER SET ,1
689,21892,TRADITIONAL WOODEN CATCH CUP GAME ,45
691,21890,S/ WOODEN SKITTLES IN COTTON BAG,21
692,21718,RED METAL BEACH SPADE ,6
693,21716,BOYS VINTAGE TIN SEASIDE BUCKET,49
694,21715,GIRLS VINTAGE TIN SEASIDE BUCKET,49
695,22113,GREY HEART HOT WATER BOTTLE,27
698,22358,KINGS CHOICE TEA CADDY ,86
699,22357,KINGS CHOICE BISCUIT TIN,49
700,22115,METAL SIGN EMPIRE TEA,8
703,21481,FAWN BLUE HOT WATER BOTTLE,27
712,22585,PACK OF  BIRDY GIFT TAGS,82
715,21556,CERAMIC STRAWBERRY MONEY BOX,89
718,22645,CERAMIC HEART FAIRY CAKE MONEY BANK,89
719,22650,CERAMIC PIRATE CHEST MONEY BANK,89
720,22508,DOORSTOP RETROSPOT HEART,61
722,22511,RETROSPOT BABUSHKA DOORSTOP,55
726,22829,SWEETHEART WIRE WALL TIDY,79
728,21154,RED RETROSPOT OVEN GLOVE ,43
730,17021,NAMASTE SWAGAT INCENSE,57
731,22059,CERAMIC STRAWBERRY DESIGN MUG,58
733,84678,CLASSICAL ROSE SMALL VASE,67
734,85172,HYACINTH BULB T-LIGHT CANDLES,18
735,22142,CHRISTMAS CRAFT WHITE FAIRY ,78
737,21591,COSY HOUR CIGAR BOX MATCHES ,34
738,22480,RED TEA TOWEL CLASSIC DESIGN,86
739,22294,HEART FILIGREE DOVE  SMALL,44
740,21156,RETROSPOT CHILDRENS APRON,61
741,10133,COLOURING PENCILS BROWN TUBE,51
742,72800E, IVORY DINNER CANDLES SILVER FLOCK,52
744,84836,ZINC METAL HEART DECORATION,98
745,20774,GREEN FERN NOTEBOOK,39
746,20773,BLUE PAISLEY NOTEBOOK,12
747,20777,CHRYSANTHEMUM NOTEBOOK,39
748,16016,LARGE CHINESE STYLE SCISSOR,44
749,16014,SMALL CHINESE STYLE SCISSOR,6
757,21651,HANGING GLASS ETCHED TEALIGHT,7
760,22618,COOKING SET RETROSPOT,61
761,21586,KINGS CHOICE GIANT TUBE MATCHES,51
763,22152,PLACE SETTING WHITE STAR,45
765,84754,S/ SILVER GLASS BAUBLES IN BAG,13
766,22670,FRENCH WC SIGN BLUE METAL,8
770,84849B,FAIRY SOAP SOAP HOLDER,78
771,22927,GREEN GIANT GARDEN THERMOMETER,24
773,22925,BLUE GIANT GARDEN THERMOMETER,24
777,21259,VICTORIAN SEWING BOX SMALL ,34
778,21257,VICTORIAN SEWING BOX MEDIUM,34
779,21121,SET/ RED POLKADOT PARTY CANDLES,18
780,82552,WASHROOM METAL SIGN,8
781,90200B,BLACK SWEETHEART BRACELET,79
782,90059B,DIAMANTE HAIR GRIP PACK/ BLACK DIA,71
783,90185C,BLACK DIAMANTE EXPANDABLE RING,71
784,90059E,DIAMANTE HAIR GRIP PACK/ RUBY,71
785,90059C,DIAMANTE HAIR GRIP PACK/ MONTANA,71
786,90200C,BLUE SWEETHEART BRACELET,79
787,90200D,PINK SWEETHEART BRACELET,79
788,90200A,PURPLE SWEETHEART BRACELET,79
793,22737,RIBBON REEL CHRISTMAS PRESENT ,38
794,21260,FIRST AID TIN,49
795,22744,MAKE YOUR OWN MONSOON CARD KIT,74
796,21985,PACK OF  HEARTS DESIGN TISSUES ,90
801,22295,HEART FILIGREE DOVE LARGE,44
807,16258A,SWIRLY CIRCULAR RUBBERS IN BAG,21
808,21992,VINTAGE PAISLEY STATIONERY SET,12
810,21124,SET/ BLUE POLKADOT PARTY CANDLES,18
811,22735,RIBBON REEL SOCKS AND MITTENS,38
813,22945,CHRISTMAS METAL TAGS ASSORTED ,11
814,21816,CHRISTMAS TREE T-LIGHT HOLDER,9
815,21815,STAR  T-LIGHT HOLDER ,9
816,21814,HEART T-LIGHT HOLDER ,9
817,10125,MINI FUNKY DESIGN TAPES,99
819,22573,STAR WOODEN CHRISTMAS DECORATION,53
820,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,53
821,22603,CHRISTMAS RETROSPOT TREE WOOD,53
823,20878,SET/ CHRISTMAS T-LIGHTS SCENTED ,65
824,20866,BLUE ROSE FABRIC MIRROR,66
825,85095,THREE CANVAS LUGGAGE TAGS,6
826,22333,RETROSPOT PARTY BAG + STICKER SET,61
828,21584,RETROSPOT SMALL TUBE MATCHES,51
